Rad nr;DOM-tid (ms)
1;119
2;93
3;102
4;100
5;281
6;102
7;104
8;94
9;108
10;95
11;101
12;107
13;106
14;90
15;97
16;115
17;95
18;100
19;97
20;91
21;116
22;98
23;109
24;96
25;99
26;110
27;96
28;100
29;192
30;101
31;151
32;100
33;103
34;93
35;99
36;100
37;97
38;88
39;91
40;97
41;97
42;83
43;97
44;107
45;96
46;106
47;91
48;97
49;145
50;97
51;109
52;112
53;80
54;121
55;101
56;119
57;87
58;321
59;110
60;123
61;105
62;98
63;93
64;89
65;100
66;85
67;98
68;96
69;78
70;108
71;97
72;98
73;105
74;90
75;107
76;100
77;115
78;103
79;114
80;89
81;107
82;78
83;92
84;112
85;101
86;115
87;104
88;107
89;110
90;98
91;97
92;84
93;93
94;105
95;84
96;97
97;97
98;98
99;102
100;91
101;103
102;99
103;91
104;105
105;102
106;105
107;97
108;109
109;111
110;95
111;92
112;98
113;105
114;105
115;101
116;100
117;106
118;98
119;122
120;105
121;99
122;105
123;92
124;128
125;97
126;102
127;92
128;120
129;111
130;95
131;103
132;97
133;105
134;96
135;106
136;105
137;124
138;97
139;120
140;92
141;98
142;103
143;106
144;111
145;103
146;97
147;99
148;108
149;108
150;109
151;101
152;91
153;100
154;108
155;102
156;110
157;111
158;108
159;97
160;95
161;87
162;95
163;98
164;121
165;104
166;104
167;105
168;89
169;103
170;106
171;98
172;92
173;110
174;108
175;108
176;98
177;103
178;116
179;304
180;93
181;124
182;88
183;105
184;119
185;100
186;108
187;121
188;89
189;118
190;100
191;106
192;111
193;109
194;116
195;105
196;115
197;92
198;99
199;97
200;119
201;103
202;103
203;102
204;101
205;109
206;107
207;110
208;102
209;117
210;85
211;120
212;107
213;97
214;105
215;99
216;133
217;104
218;112
219;121
220;106
221;112
222;108
223;114
224;109
225;107
226;105
227;101
228;108
229;113
230;103
231;109
232;134
233;120
234;86
235;99
236;126
237;108
238;137
239;124
240;109
241;82
242;127
243;116
244;113
245;106
246;84
247;98
248;101
249;112
250;108
251;115
252;104
253;102
254;109
255;100
256;111
257;91
258;117
259;105
260;118
261;96
262;89
263;119
264;111
265;100
266;95
267;117
268;92
269;113
270;110
271;104
272;112
273;113
274;100
275;90
276;95
277;107
278;104
279;107
280;111
281;113
282;115
283;92
284;106
285;92
286;120
287;128
288;100
289;121
290;113
291;98
292;118
293;93
294;102
295;100
296;99
297;111
298;104
299;121
300;117
301;112
302;121
303;118
304;110
305;90
306;113
307;115
308;115
309;98
310;109
311;85
312;109
313;114
314;102
315;95
316;112
317;96
318;114
319;108
320;108
321;110
322;99
323;126
324;107
325;101
326;113
327;107
328;106
329;99
330;103
331;103
332;133
333;129
334;107
335;122
336;109
337;102
338;122
339;167
340;95
341;112
342;109
343;112
344;111
345;102
346;111
347;106
348;112
349;118
350;110
351;98
352;117
353;96
354;97
355;101
356;107
357;104
358;109
359;116
360;107
361;89
362;106
363;112
364;114
365;103
366;94
367;108
368;130
369;101
370;113
371;101
372;107
373;103
374;116
375;113
376;114
377;95
378;116
379;112
380;98
381;104
382;102
383;104
384;107
385;104
386;108
387;126
388;89
389;86
390;108
391;112
392;110
393;108
394;101
395;110
396;112
397;124
398;123
399;105
400;110
401;115
402;131
403;106
404;99
405;114
406;111
407;123
408;106
409;107
410;131
411;121
412;103
413;125
414;90
415;111
416;109
417;109
418;110
419;104
420;122
421;125
422;120
423;104
424;106
425;116
426;100
427;107
428;113
429;117
430;105
431;104
432;106
433;112
434;112
435;99
436;116
437;105
438;130
439;100
440;107
441;113
442;113
443;117
444;113
445;111
446;108
447;103
448;99
449;109
450;98
451;95
452;105
453;118
454;131
455;107
456;114
457;103
458;88
459;114
460;111
461;105
462;111
463;87
464;111
465;101
466;126
467;125
468;112
469;108
470;98
471;117
472;113
473;110
474;108
475;108
476;132
477;112
478;112
479;100
480;114
481;132
482;91
483;123
484;101
485;117
486;116
487;88
488;130
489;107
490;112
491;122
492;105
493;125
494;92
495;111
496;115
497;105
498;108
499;96
500;145
501;117
502;100
503;134
504;114
505;95
506;110
507;103
508;112
509;112
510;109
511;90
512;106
513;105
514;112
515;110
516;118
517;96
518;105
519;105
520;107
521;112
522;113
523;102
524;121
525;113
526;148
527;107
528;105
529;114
530;123
531;117
532;105
533;127
534;117
535;131
536;104
537;170
538;109
539;113
540;89
541;130
542;113
543;122
544;126
545;102
546;127
547;126
548;109
549;121
550;107
551;136
552;128
553;138
554;113
555;119
556;112
557;111
558;114
559;118
560;105
561;115
562;114
563;109
564;109
565;132
566;109
567;122
568;118
569;119
570;135
571;109
572;98
573;114
574;109
575;134
576;115
577;122
578;115
579;114
580;116
581;107
582;117
583;125
584;110
585;121
586;85
587;114
588;137
589;106
590;129
591;101
592;134
593;115
594;130
595;111
596;129
597;117
598;96
599;123
600;115
601;112
602;118
603;110
604;121
605;107
606;114
607;109
608;123
609;99
610;106
611;122
612;129
613;122
614;130
615;117
616;137
617;95
618;116
619;109
620;131
621;115
622;115
623;154
624;107
625;106
626;116
627;125
628;131
629;121
630;117
631;103
632;120
633;131
634;115
635;124
636;111
637;116
638;128
639;110
640;113
641;116
642;121
643;97
644;120
645;108
646;116
647;134
648;137
649;113
650;112
651;128
652;111
653;129
654;117
655;103
656;135
657;118
658;126
659;110
660;104
661;126
662;116
663;111
664;115
665;109
666;109
667;121
668;134
669;117
670;106
671;112
672;127
673;117
674;133
675;123
676;102
677;124
678;106
679;115
680;105
681;112
682;149
683;114
684;119
685;186
686;109
687;117
688;124
689;167
690;95
691;132
692;128
693;136
694;107
695;125
696;115
697;119
698;107
699;102
700;117
701;110
702;132
703;100
704;106
705;143
706;113
707;133
708;122
709;116
710;106
711;146
712;114
713;114
714;121
715;105
716;131
717;120
718;125
719;128
720;115
721;118
722;110
723;118
724;116
725;122
726;114
727;107
728;119
729;122
730;136
731;121
732;135
733;110
734;100
735;125
736;113
737;110
738;116
739;126
740;122
741;120
742;113
743;108
744;118
745;110
746;135
747;114
748;113
749;116
750;125
751;97
752;118
753;114
754;158
755;109
756;124
757;93
758;133
759;126
760;113
761;109
762;131
763;122
764;124
765;141
766;124
767;114
768;126
769;126
770;124
771;123
772;116
773;119
774;257
775;116
776;111
777;115
778;169
779;132
780;119
781;112
782;116
783;121
784;122
785;117
786;108
787;115
788;141
789;95
790;137
791;118
792;133
793;118
794;111
795;121
796;125
797;122
798;123
799;106
800;112
801;112
802;109
803;114
804;129
805;126
806;137
807;118
808;106
809;120
810;113
811;134
812;124
813;121
814;101
815;124
816;114
817;105
818;120
819;136
820;132
821;106
822;109
823;122
824;133
825;146
826;139
827;122
828;115
829;118
830;119
831;249
832;112
833;116
834;120
835;112
836;123
837;119
838;107
839;119
840;121
841;117
842;113
843;119
844;132
845;124
846;133
847;127
848;115
849;126
850;103
851;118
852;130
853;121
854;120
855;115
856;97
857;106
858;120
859;140
860;116
861;133
862;119
863;117
864;135
865;131
866;111
867;123
868;109
869;116
870;131
871;125
872;113
873;125
874;121
875;119
876;114
877;143
878;118
879;123
880;120
881;120
882;130
883;122
884;123
885;117
886;125
887;103
888;139
889;134
890;116
891;138
892;130
893;136
894;117
895;114
896;116
897;113
898;123
899;117
900;135
901;117
902;136
903;111
904;131
905;135
906;125
907;123
908;118
909;138
910;112
911;128
912;142
913;118
914;124
915;163
916;132
917;128
918;121
919;121
920;116
921;119
922;121
923;138
924;115
925;122
926;116
927;118
928;129
929;125
930;139
931;138
932;105
933;125
934;134
935;128
936;140
937;139
938;124
939;145
940;125
941;135
942;108
943;133
944;123
945;116
946;110
947;139
948;124
949;139
950;141
951;118
952;113
953;119
954;127
955;131
956;134
957;123
958;124
959;109
960;134
961;117
962;123
963;123
964;120
965;121
966;127
967;116
968;123
969;109
970;130
971;121
972;117
973;125
974;102
975;136
976;134
977;135
978;130
979;112
980;138
981;122
982;124
983;102
984;125
985;119
986;136
987;127
988;135
989;127
990;120
991;111
992;130
993;114
994;123
995;120
996;127
997;115
998;114
999;129
1000;115
1001;121
1002;139
1003;120
1004;115
1005;122
1006;132
1007;122
1008;115
1009;119
1010;125
1011;133
1012;147
1013;120
1014;117
1015;123
1016;112
1017;110
1018;113
1019;123
1020;122
1021;140
1022;137
1023;105
1024;136
1025;120
1026;122
1027;141
1028;125
1029;135
1030;126
1031;125
1032;130
1033;121
1034;139
1035;120
1036;147
1037;126
1038;122
1039;110
1040;126
1041;140
1042;124
1043;111
1044;119
1045;139
1046;124
1047;127
1048;128
1049;123
1050;126
1051;141
1052;119
1053;147
1054;130
1055;127
1056;138
1057;110
1058;134
1059;127
1060;133
1061;148
1062;139
1063;123
1064;115
1065;129
1066;110
1067;124
1068;119
1069;150
1070;166
1071;120
1072;114
1073;153
1074;122
1075;134
1076;124
1077;139
1078;123
1079;113
1080;141
1081;194
1082;107
1083;128
1084;116
1085;136
1086;133
1087;202
1088;111
1089;138
1090;108
1091;125
1092;132
1093;140
1094;123
1095;120
1096;126
1097;139
1098;121
1099;134
1100;122
1101;123
1102;126
1103;126
1104;112
1105;135
1106;116
1107;137
1108;125
1109;115
1110;124
1111;114
1112;116
1113;112
1114;124
1115;128
1116;121
1117;122
1118;120
1119;120
1120;130
1121;127
1122;111
1123;132
1124;123
1125;118
1126;120
1127;137
1128;122
1129;122
1130;125
1131;131
1132;149
1133;119
1134;107
1135;117
1136;159
1137;130
1138;121
1139;127
1140;117
1141;122
1142;136
1143;122
1144;127
1145;111
1146;127
1147;146
1148;117
1149;135
1150;106
1151;122
1152;160
1153;122
1154;125
1155;123
1156;112
1157;160
1158;124
1159;125
1160;148
1161;128
1162;148
1163;118
1164;120
1165;143
1166;138
1167;146
1168;130
1169;124
1170;107
1171;118
1172;128
1173;144
1174;126
1175;252
1176;318
1177;122
1178;139
1179;123
1180;111
1181;116
1182;121
1183;131
1184;133
1185;133
1186;119
1187;122
1188;133
1189;144
1190;127
1191;125
1192;144
1193;121
1194;144
1195;129
1196;147
1197;130
1198;124
1199;121
1200;137
1201;111
1202;156
1203;158
1204;124
1205;267
1206;121
1207;131
1208;118
1209;131
1210;146
1211;150
1212;133
1213;152
1214;139
1215;124
1216;120
1217;123
1218;128
1219;141
1220;124
1221;120
1222;147
1223;116
1224;121
1225;124
1226;130
1227;139
1228;129
1229;138
1230;116
1231;110
1232;139
1233;128
1234;130
1235;138
1236;111
1237;119
1238;145
1239;120
1240;123
1241;114
1242;126
1243;130
1244;136
1245;135
1246;119
1247;116
1248;122
1249;123
1250;146
1251;150
1252;132
1253;120
1254;118
1255;139
1256;125
1257;130
1258;145
1259;137
1260;138
1261;135
1262;130
1263;105
1264;123
1265;137
1266;192
1267;135
1268;137
1269;124
1270;130
1271;133
1272;139
1273;135
1274;138
1275;148
1276;186
1277;110
1278;135
1279;123
1280;135
1281;123
1282;273
1283;122
1284;141
1285;143
1286;163
1287;116
1288;153
1289;126
1290;126
1291;130
1292;104
1293;130
1294;123
1295;142
1296;129
1297;124
1298;139
1299;151
1300;136
1301;147
1302;148
1303;141
1304;127
1305;130
1306;242
1307;132
1308;147
1309;127
1310;178
1311;127
1312;125
1313;132
1314;170
1315;149
1316;128
1317;122
1318;143
1319;135
1320;122
1321;130
1322;145
1323;131
1324;133
1325;144
1326;124
1327;136
1328;126
1329;256
1330;156
1331;147
1332;138
1333;127
1334;123
1335;129
1336;130
1337;136
1338;122
1339;120
1340;135
1341;131
1342;143
1343;136
1344;132
1345;131
1346;364
1347;146
1348;135
1349;136
1350;143
1351;162
1352;139
1353;129
1354;138
1355;116
1356;129
1357;137
1358;199
1359;140
1360;132
1361;130
1362;182
1363;127
1364;146
1365;143
1366;302
1367;123
1368;123
1369;126
1370;159
1371;134
1372;112
1373;131
1374;137
1375;142
1376;117
1377;118
1378;192
1379;179
1380;137
1381;131
1382;133
1383;143
1384;126
1385;150
1386;125
1387;121
1388;132
1389;133
1390;129
1391;147
1392;140
1393;122
1394;147
1395;120
1396;144
1397;156
1398;144
1399;141
1400;147
1401;135
1402;107
1403;121
1404;180
1405;149
1406;140
1407;112
1408;130
1409;130
1410;145
1411;158
1412;120
1413;126
1414;134
1415;139
1416;135
1417;127
1418;120
1419;142
1420;121
1421;147
1422;164
1423;139
1424;156
1425;133
1426;125
1427;172
1428;154
1429;157
1430;142
1431;137
1432;136
1433;130
1434;127
1435;127
1436;144
1437;144
1438;151
1439;132
1440;139
1441;139
1442;149
1443;134
1444;146
1445;121
1446;118
1447;150
1448;136
1449;135
1450;143
1451;134
1452;118
1453;120
1454;137
1455;134
1456;146
1457;150
1458;129
1459;138
1460;139
1461;140
1462;162
1463;158
1464;135
1465;182
1466;139
1467;137
1468;130
1469;140
1470;145
1471;134
1472;172
1473;145
1474;143
1475;173
1476;165
1477;149
1478;139
1479;119
1480;140
1481;152
1482;147
1483;190
1484;137
1485;144
1486;149
1487;126
1488;121
1489;157
1490;167
1491;135
1492;132
1493;131
1494;143
1495;150
1496;148
1497;151
1498;148
1499;160
1500;142
1501;156
1502;148
1503;132
1504;122
1505;153
1506;178
1507;152
1508;154
1509;138
1510;152
1511;142
1512;150
1513;155
1514;133
1515;150
1516;129
1517;136
1518;128
1519;151
1520;139
1521;170
1522;143
1523;151
1524;156
1525;141
1526;127
1527;124
1528;158
1529;141
1530;145
1531;145
1532;133
1533;146
1534;140
1535;145
1536;135
1537;157
1538;152
1539;139
1540;148
1541;141
1542;129
1543;143
1544;162
1545;134
1546;137
1547;137
1548;127
1549;139
1550;135
1551;152
1552;134
1553;150
1554;145
1555;122
1556;131
1557;148
1558;145
1559;138
1560;173
1561;151
1562;160
1563;152
1564;143
1565;166
1566;128
1567;148
1568;143
1569;120
1570;168
1571;168
1572;148
1573;147
1574;137
1575;149
1576;129
1577;161
1578;143
1579;158
1580;155
1581;153
1582;168
1583;163
1584;163
1585;132
1586;138
1587;168
1588;150
1589;154
1590;132
1591;152
1592;136
1593;152
1594;147
1595;141
1596;164
1597;157
1598;129
1599;138
1600;150
1601;155
1602;140
1603;155
1604;141
1605;129
1606;136
1607;175
1608;142
1609;146
1610;142
1611;148
1612;142
1613;131
1614;149
1615;157
1616;133
1617;150
1618;154
1619;149
1620;160
1621;148
1622;152
1623;147
1624;139
1625;140
1626;141
1627;131
1628;128
1629;144
1630;161
1631;136
1632;154
1633;146
1634;155
1635;172
1636;154
1637;153
1638;125
1639;140
1640;146
1641;137
1642;137
1643;131
1644;158
1645;147
1646;161
1647;165
1648;142
1649;139
1650;140
1651;153
1652;120
1653;125
1654;162
1655;170
1656;131
1657;137
1658;132
1659;137
1660;165
1661;151
1662;157
1663;150
1664;151
1665;143
1666;161
1667;162
1668;158
1669;155
1670;153
1671;125
1672;145
1673;145
1674;166
1675;146
1676;168
