Rad nr;DOM-tid (ms)
1;495
2;543
3;467
4;411
5;463
6;419
7;470
8;385
9;480
10;417
11;438
12;435
13;450
14;496
15;401
16;476
17;495
18;368
19;505
20;417
21;487
22;450
23;447
24;385
25;452
26;440
27;380
28;391
29;432
30;392
31;446
32;474
33;516
34;378
35;409
36;364
37;498
38;367
39;470
40;397
41;510
42;430
43;445
44;478
45;519
46;420
47;388
48;419
49;395
50;414
51;426
52;592
53;490
54;449
55;526
56;482
57;494
58;524
59;456
60;411
61;509
62;475
63;436
64;492
65;531
66;467
67;477
68;484
69;486
70;427
71;486
72;411
73;464
74;468
75;474
76;429
77;450
78;524
79;498
80;488
81;424
82;484
83;502
84;475
85;470
86;444
87;422
88;539
89;428
90;507
91;468
92;485
93;455
94;497
95;532
96;440
97;398
98;427
99;490
100;406
101;386
102;504
103;540
104;441
105;441
106;416
107;486
108;423
109;577
110;506
111;415
112;656
113;508
114;479
115;479
116;382
117;420
118;514
119;395
120;374
121;379
122;380
123;380
124;371
125;485
126;412
127;481
128;379
129;374
130;376
131;365
132;383
133;379
134;377
135;445
136;462
137;541
138;467
139;383
140;418
141;406
142;397
143;368
144;370
145;393
146;351
147;419
148;439
149;356
150;364
151;357
152;409
153;439
154;509
155;407
156;554
157;393
158;382
159;430
160;400
161;371
162;425
163;450
164;381
165;389
166;387
167;387
168;410
169;389
170;383
171;424
172;455
173;416
174;399
175;410
176;553
177;431
178;430
179;403
180;420
181;427
182;400
183;497
184;429
185;400
186;428
187;555
188;430
189;492
190;435
191;465
192;422
193;458
194;425
195;434
196;466
197;458
198;525
199;510
200;470
201;497
202;466
203;483
204;522
205;492
206;492
207;488
208;519
209;467
210;569
211;466
212;660
213;546
214;633
215;517
216;545
217;633
218;601
219;572
220;657
221;610
222;543
223;715
224;574
225;583
226;669
227;656
228;805
229;594
230;653
231;614
232;524
233;519
234;502
235;578
236;570
237;676
238;548
239;555
240;620
241;495
242;573
243;635
244;609
245;600
246;637
247;514
248;500
249;769
250;838
251;661
252;547
253;583
254;440
255;570
256;513
257;744
258;529
259;591
260;534
261;478
262;627
263;568
264;691
265;655
266;646
267;670
268;625
269;540
270;570
271;684
272;577
273;636
274;537
275;531
276;493
277;564
278;748
279;535
280;498
281;633
282;576
283;660
284;655
285;840
286;750
287;765
288;840
289;710
290;700
291;855
292;962
293;786
294;805
295;727
296;608
297;703
298;804
299;676
300;709
301;860
302;962
303;1016
304;1102
305;1160
306;935
307;1051
308;714
309;870
310;719
311;755
312;835
313;766
314;815
315;716
316;767
317;594
318;864
319;722
320;659
321;834
322;705
323;766
324;662
325;656
326;548
327;504
328;519
329;461
330;622
331;502
332;517
333;422
334;476
335;510
336;516
337;588
338;541
339;481
340;655
341;559
342;597
343;571
344;527
345;457
346;465
347;559
348;589
349;509
350;472
351;563
352;660
353;783
354;951
355;904
356;751
357;643
358;600
359;725
360;653
361;678
362;642
363;605
364;632
365;658
366;649
367;769
368;648
369;729
370;658
371;682
372;623
373;675
374;800
375;865
376;638
377;736
378;687
379;557
380;587
381;622
382;634
383;845
384;704
385;675
386;620
387;562
388;632
389;677
390;773
391;695
392;620
393;711
394;691
395;662
396;549
397;518
398;494
399;427
400;444
401;506
402;545
403;552
404;576
405;584
406;441
407;419
408;469
409;472
410;586
411;679
412;514
413;464
414;458
415;489
416;452
417;567
418;606
419;531
420;480
421;589
422;425
423;487
424;451
425;596
426;681
427;552
428;440
429;484
430;497
431;438
432;494
433;519
434;546
435;536
436;500
437;472
438;454
439;535
440;583
441;564
442;634
443;462
444;488
445;540
446;452
447;465
448;481
449;489
450;479
451;529
452;553
453;417
454;416
455;468
456;605
457;516
458;552
459;539
460;451
461;491
462;460
463;515
464;469
465;570
466;443
467;530
468;477
469;425
470;471
471;490
472;608
473;557
474;435
475;472
476;527
477;475
478;484
479;690
480;578
481;502
482;424
483;494
484;503
485;616
486;567
487;568
488;470
489;441
490;579
491;574
492;609
493;585
494;489
495;679
496;559
497;480
498;578
499;588
500;544
