Rad nr;DOM-tid (ms)
1;79
2;41
3;46
4;50
5;46
6;56
7;320
8;40
9;50
10;47
11;43
12;43
13;70
14;38
15;66
16;41
17;41
18;47
19;44
20;63
21;50
22;43
23;68
24;45
25;47
26;49
27;46
28;52
29;50
30;60
31;46
32;62
33;37
34;42
35;64
36;48
37;42
38;39
39;41
40;48
41;38
42;37
43;42
44;45
45;50
46;53
47;44
48;69
49;38
50;67
51;50
52;39
53;61
54;50
55;50
56;52
57;40
58;41
59;53
60;85
61;49
62;50
63;41
64;52
65;43
66;42
67;46
68;39
69;259
70;49
71;56
72;51
73;40
74;43
75;49
76;37
77;42
78;42
79;41
80;53
81;39
82;42
83;43
84;37
85;46
86;42
87;41
88;40
89;38
90;47
91;40
92;40
93;38
94;47
95;39
96;40
97;42
98;37
99;41
100;44
101;42
102;40
103;57
104;38
105;57
106;42
107;49
108;40
109;40
110;61
111;44
112;39
113;49
114;49
115;65
116;46
117;56
118;40
119;83
120;65
121;55
122;46
123;46
124;50
125;67
126;48
127;71
128;50
129;49
130;49
131;52
132;38
133;49
134;38
135;49
136;38
137;37
138;39
139;47
140;49
141;49
142;45
143;47
144;49
145;43
146;39
147;44
148;43
149;44
150;45
151;40
152;46
153;49
154;55
155;48
156;42
157;46
158;56
159;66
160;49
161;39
162;38
163;63
164;46
165;72
166;51
167;97
168;50
169;53
170;64
171;51
172;41
173;39
174;43
175;50
176;38
177;52
178;41
179;94
180;51
181;56
182;41
183;45
184;47
185;51
186;40
187;51
188;57
189;42
190;51
191;61
192;70
193;46
194;45
195;57
196;42
197;39
198;46
199;40
200;63
201;66
202;50
203;50
204;48
205;41
206;44
207;49
208;43
209;63
210;53
211;44
212;44
213;62
214;55
215;74
216;46
217;50
218;55
219;43
220;47
221;117
222;72
223;45
224;48
225;49
226;61
227;51
228;54
229;44
230;68
231;63
232;46
233;41
234;41
235;77
236;38
237;47
238;45
239;52
240;54
241;70
242;49
243;61
244;45
245;48
246;45
247;39
248;43
249;45
250;76
251;64
252;44
253;50
254;45
255;53
256;52
257;40
258;38
259;51
260;44
261;41
262;39
263;42
264;50
265;52
266;43
267;42
268;42
269;43
270;39
271;38
272;48
273;40
274;40
275;50
276;39
277;76
278;39
279;41
280;50
281;45
282;42
283;40
284;63
285;55
286;41
287;40
288;54
289;46
290;49
291;39
292;45
293;38
294;48
295;47
296;57
297;41
298;50
299;43
300;63
301;54
302;57
303;39
304;41
305;63
306;61
307;61
308;49
309;51
310;57
311;46
312;64
313;41
314;52
315;51
316;66
317;39
318;67
319;39
320;63
321;73
322;43
323;46
324;40
325;49
326;40
327;40
328;41
329;45
330;57
331;75
332;41
333;63
334;45
335;86
336;49
337;48
338;53
339;49
340;53
341;67
342;53
343;65
344;50
345;50
346;58
347;54
348;46
349;73
350;64
351;50
352;52
353;61
354;51
355;54
356;63
357;73
358;65
359;56
360;65
361;50
362;42
363;63
364;58
365;53
366;40
367;55
368;68
369;49
370;88
371;59
372;87
373;55
374;68
375;76
376;62
377;57
378;50
379;56
380;64
381;49
382;50
383;58
384;49
385;62
386;45
387;46
388;60
389;40
390;51
391;51
392;46
393;51
394;44
395;55
396;39
397;40
398;52
399;50
400;55
401;67
402;73
403;73
404;65
405;97
406;39
407;46
408;49
409;47
410;70
411;51
412;76
413;43
414;43
415;77
416;57
417;76
418;50
419;67
420;62
421;66
422;62
423;69
424;64
425;58
426;52
427;65
428;50
429;67
430;62
431;56
432;52
433;56
434;67
435;56
436;52
437;43
438;57
439;75
440;53
441;49
442;67
443;64
444;66
445;77
446;59
447;65
448;45
449;52
450;46
451;51
452;48
453;40
454;52
455;51
456;46
457;53
458;47
459;56
460;50
461;62
462;46
463;44
464;56
465;49
466;56
467;41
468;38
469;42
470;44
471;49
472;52
473;51
474;49
475;57
476;47
477;45
478;47
479;44
480;50
481;55
482;47
483;50
484;39
485;48
486;44
487;52
488;45
489;41
490;50
491;44
492;46
493;44
494;42
495;57
496;43
497;43
498;46
499;83
500;69
501;41
502;59
503;43
504;51
505;64
506;40
507;51
508;47
509;48
510;54
511;46
512;46
513;43
514;41
515;53
516;60
517;72
518;68
519;192
520;49
521;51
522;40
523;50
524;56
525;54
526;66
527;67
528;50
529;49
530;54
531;45
532;45
533;47
534;49
535;86
536;55
537;47
538;59
539;55
540;56
541;42
542;53
543;63
544;66
545;47
546;64
547;78
548;41
549;54
550;51
551;53
552;45
553;66
554;70
555;53
556;55
557;51
558;47
559;70
560;56
561;64
562;49
563;48
564;57
565;56
566;66
567;71
568;40
569;90
570;64
571;55
572;47
573;77
574;63
575;86
576;58
577;47
578;44
579;71
580;54
581;52
582;51
583;67
584;52
585;65
586;66
587;80
588;69
589;40
590;85
591;62
592;46
593;67
594;46
595;72
596;50
597;77
598;62
599;50
600;70
601;57
602;70
603;63
604;68
605;71
606;74
607;53
608;79
609;50
610;60
611;63
612;65
613;43
614;47
615;54
616;50
617;51
618;65
619;66
620;66
621;48
622;56
623;47
624;44
625;78
626;67
627;54
628;74
629;66
630;55
631;58
632;70
633;54
634;64
635;71
636;72
637;55
638;50
639;50
640;46
641;78
642;46
643;46
644;53
645;51
646;54
647;56
648;54
649;54
650;95
651;46
652;63
653;55
654;52
655;54
656;40
657;46
658;59
659;73
660;51
661;65
662;51
663;51
664;47
665;45
666;46
667;45
668;50
669;58
670;66
671;47
672;43
673;45
674;62
675;52
676;68
677;59
678;44
679;63
680;59
681;45
682;43
683;59
684;52
685;52
686;44
687;46
688;47
689;46
690;52
691;130
692;69
693;67
694;50
