Rad nr;DOM-tid (ms)
1;241
2;211
3;221
4;207
5;210
6;203
7;192
8;241
9;225
10;189
11;196
12;210
13;227
14;206
15;201
16;206
17;222
18;187
19;219
20;202
21;208
22;210
23;397
24;265
25;204
26;209
27;202
28;206
29;353
30;203
31;217
32;231
33;208
34;218
35;274
36;215
37;194
38;220
39;180
40;178
41;200
42;172
43;225
44;194
45;200
46;193
47;200
48;208
49;223
50;207
51;225
52;195
53;206
54;207
55;199
56;244
57;211
58;197
59;251
60;230
61;285
62;206
63;230
64;207
65;189
66;201
67;206
68;198
69;197
70;207
71;198
72;214
73;229
74;231
75;198
76;212
77;222
78;200
79;204
80;195
81;225
82;221
83;214
84;187
85;214
86;192
87;213
88;199
89;226
90;208
91;206
92;185
93;221
94;209
95;236
96;199
97;227
98;204
99;211
100;230
101;203
102;203
103;187
104;219
105;215
106;211
107;211
108;198
109;203
110;198
111;201
112;205
113;233
114;191
115;193
116;193
117;238
118;200
119;182
120;203
121;234
122;177
123;205
124;205
125;215
126;211
127;195
128;193
129;235
130;216
131;198
132;218
133;211
134;239
135;206
136;227
137;236
138;219
139;243
140;232
141;217
142;206
143;217
144;208
145;222
146;207
147;222
148;209
149;224
150;210
151;227
152;217
153;194
154;211
155;241
156;224
157;221
158;211
159;200
160;214
161;194
162;207
163;200
164;221
165;221
166;219
167;196
168;190
169;198
170;186
171;192
172;199
173;214
174;203
175;198
176;211
177;212
178;226
179;220
180;205
181;234
182;218
183;203
184;212
185;238
186;233
187;215
188;222
189;212
190;212
191;199
192;238
193;228
194;218
195;202
196;192
197;246
198;202
199;233
200;193
201;220
202;230
203;212
204;219
205;223
206;209
207;197
208;245
209;202
210;221
211;211
212;197
213;221
214;241
215;199
216;219
217;243
218;196
219;200
220;204
221;183
222;238
223;205
224;223
225;221
226;213
227;214
228;219
229;208
230;232
231;202
232;205
233;219
234;205
235;211
236;212
237;206
238;222
239;200
240;211
241;208
242;209
243;208
244;195
245;216
246;208
247;219
248;197
249;219
250;210
251;213
252;223
253;233
254;216
255;202
256;215
257;242
258;196
259;223
260;200
261;227
262;198
263;210
264;216
265;210
266;210
267;249
268;186
269;268
270;193
271;211
272;353
273;215
274;197
275;206
276;209
277;222
278;214
279;225
280;220
281;212
282;198
283;205
284;208
285;225
286;205
287;288
288;210
289;202
290;230
291;209
292;190
293;215
294;206
295;214
296;216
297;232
298;193
299;220
300;204
301;235
302;249
303;211
304;208
305;218
306;188
307;204
308;211
309;218
310;197
311;189
312;201
313;243
314;224
315;220
316;210
317;233
318;213
319;217
320;251
321;253
322;219
323;250
324;219
325;223
326;241
327;197
328;202
329;222
330;200
331;212
332;215
333;238
334;202
335;215
336;198
337;222
338;247
339;203
340;234
341;217
342;197
343;224
344;205
345;240
346;217
347;235
348;187
349;212
350;203
351;216
352;223
353;227
354;195
355;239
356;235
357;213
358;208
359;228
360;200
361;222
362;213
363;212
364;226
365;225
366;197
367;206
368;207
369;230
370;230
371;200
372;195
373;229
374;205
375;202
376;193
377;259
378;202
379;211
380;203
381;222
382;200
383;231
384;195
385;269
386;213
387;204
388;219
389;212
390;222
391;225
392;208
393;220
394;185
395;208
396;235
397;206
398;228
399;212
400;360
401;220
402;202
403;195
404;241
405;226
406;227
407;214
408;208
409;206
410;228
411;203
412;209
413;205
414;238
415;203
416;195
417;215
418;186
419;212
420;224
421;228
422;197
423;202
424;206
425;217
426;212
427;211
428;201
429;219
430;227
431;229
432;214
433;212
434;225
435;202
436;231
437;228
438;215
439;194
440;212
441;203
442;200
443;201
444;230
445;224
446;203
447;218
448;190
449;212
450;220
451;206
452;211
453;223
454;189
455;204
456;195
457;225
458;251
459;219
460;235
461;183
462;214
463;200
464;222
465;223
466;211
467;194
468;204
469;225
470;207
471;207
472;201
473;226
474;190
475;232
476;202
477;235
478;235
479;224
480;188
481;206
482;247
483;219
484;205
485;225
486;205
487;231
488;202
489;229
490;230
491;257
492;213
493;221
494;322
495;210
496;195
497;228
498;223
499;247
500;229
